Title,Rating,Votes,Duration
1. Eden,6.4, (3K),2h
2. Nosferatu,7.2, (214K),2h 12m
3. Riff Raff,5.6, (4.5K),1h 43m
4. The Life of Chuck,7.7, (8K),1h 51m
5. Heretic,7.0, (166K),1h 51m
6. Gladiator II,6.5, (257K),2h 28m
7. Anora,7.5, (208K),2h 19m
8. The Surfer,6.0, (10K),1h 40m
9. Wicked,7.4, (171K),2h 40m
10. We Live in Time,7.0, (57K),1h 48m
11. The Substance,7.2, (322K),2h 21m
12. Friendship,7.0, (14K),1h 40m
13. Mon Potongo,4.7, (695),2h 29m
14. The Brutalist,7.3, (95K),3h 36m
15. William Tell,5.7, (3.4K),2h 14m
16. A Complete Unknown,7.3, (94K),2h 21m
17. Dune: Part Two,8.5, (646K),2h 46m
18. Twisters,6.5, (177K),2h 2m
19. Kraven the Hunter,5.5, (65K),2h 7m
20. The Wild Robot,8.2, (185K),1h 42m
21. Conclave,7.4, (207K),2h
22. Babygirl,5.8, (64K),1h 54m
23. The Order,6.8, (50K),1h 56m
24. Deadpool & Wolverine,7.5, (510K),2h 8m
25. 40 Acres,7.1, (656),1h 53m
26. The Ministry of Ungentlemanly Warfare,6.8, (140K),2h 2m
27. Furiosa: A Mad Max Saga,7.5, (293K),2h 28m
28. Speak No Evil,6.8, (112K),1h 50m
29. The Beekeeper,6.3, (163K),1h 45m
30. I'm Still Here,8.2, (114K),2h 17m
31. Sonic the Hedgehog 3,6.9, (66K),1h 50m
32. Carry-On,6.5, (173K),1h 59m
33. The Rule of Jenny Pen,6.2, (6.3K),1h 44m
34. Presence,6.1, (30K),1h 24m
35. Civil War,7.0, (245K),1h 49m
36. Juror #2,7.0, (106K),1h 54m
37. Flow,7.9, (86K),1h 25m
38. The Fall Guy,6.8, (228K),2h 6m
39. Monster Summer,5.7, (4.5K),1h 37m
40. Wolfs,6.5, (89K),1h 48m
41. Longlegs,6.6, (195K),1h 41m
42. A Real Pain,7.1, (106K),1h 30m
43. Pune Highway,5.2, (175),2h 1m
44. Alien: Romulus,7.1, (255K),1h 59m
45. Fight or Flight,6.4, (15K),1h 42m
46. Venom: The Last Dance,6.0, (132K),1h 50m
47. The Count of Monte-Cristo,7.6, (38K),2h 58m
48. Small Things Like These,6.7, (28K),1h 38m
49. Mufasa: The Lion King,6.6, (72K),1h 58m
50. Moana 2,6.5, (110K),1h 40m
